#&a / °	I1 / %
-0.627	10.0
-0.630	10.0
-0.633	10.1
-0.636	10.0
-0.639	10.1
-0.642	10.1
-0.645	10.0
-0.648	10.0
-0.651	10.0
-0.654	10.0
-0.657	10.0
-0.660	10.0
-0.662	10.0
-0.665	10.0
-0.668	10.0
-0.671	10.0
-0.674	10.1
-0.677	10.1
-0.680	10.0
-0.683	10.0
-0.686	10.0
-0.689	10.0
-0.692	10.1
-0.695	10.1
-0.698	10.1
-0.701	10.1
-0.704	10.1
-0.707	10.0
-0.710	10.1
-0.713	10.0
-0.716	10.0
-0.719	10.1
-0.722	10.1
-0.725	10.0
-0.728	10.1
-0.731	10.1
-0.734	10.1
-0.737	10.1
-0.740	10.1
-0.743	10.1
-0.746	10.1
-0.749	10.1
-0.752	10.1
-0.755	10.1
-0.758	10.0
-0.761	10.1
-0.763	10.1
-0.766	10.1
-0.769	10.1
-0.772	10.1
-0.775	10.1
-0.778	10.1
-0.781	10.1
-0.784	10.1
-0.787	10.1
-0.790	10.1
-0.793	10.1
-0.796	10.1
-0.799	10.1
-0.802	10.1
-0.805	10.1
-0.808	10.1
-0.811	10.1
-0.814	10.1
-0.817	10.1
-0.820	10.1
-0.823	10.1
-0.826	10.1
-0.829	10.1
-0.832	10.1
-0.835	10.1
-0.838	10.1
-0.841	10.1
-0.844	10.2
-0.847	10.2
-0.850	10.1
-0.853	10.1
-0.856	10.1
-0.859	10.1
-0.861	10.1
-0.864	10.1
-0.867	10.2
-0.870	10.1
-0.873	10.1
-0.876	10.2
-0.879	10.2
-0.882	10.1
-0.885	10.2
-0.888	10.2
-0.891	10.2
-0.894	10.1
-0.897	10.1
-0.900	10.1
-0.903	10.1
-0.906	10.1
-0.909	10.1
-0.912	10.1
-0.915	10.1
-0.918	10.1
-0.921	10.1
-0.924	10.1
-0.927	10.1
-0.930	10.1
-0.933	10.1
-0.936	10.1
-0.939	10.1
-0.942	10.1
-0.945	10.1
-0.948	10.1
-0.951	10.1
-0.954	10.1
-0.957	10.1
-0.960	10.1
-0.962	10.1
-0.965	10.1
-0.968	10.1
-0.971	10.1
-0.974	10.1
-0.977	10.1
-0.980	10.1
-0.983	10.1
-0.986	10.1
-0.989	10.1
-0.992	10.1
-0.995	10.1
-0.998	10.1
-1.001	10.1
-1.004	10.1
-1.007	10.2
-1.010	10.2
-1.013	10.2
-1.016	10.2
-1.019	10.2
-1.022	10.2
-1.025	10.2
-1.028	10.2
-1.031	10.2
-1.034	10.2
-1.037	10.2
-1.040	10.2
-1.043	10.2
-1.046	10.2
-1.049	10.2
-1.052	10.2
-1.055	10.2
-1.058	10.2
-1.060	10.2
-1.063	10.2
-1.066	10.2
-1.069	10.2
-1.072	10.2
-1.075	10.2
-1.078	10.1
-1.081	10.2
-1.084	10.2
-1.087	10.2
-1.090	10.2
-1.093	10.2
-1.096	10.2
-1.099	10.2
-1.102	10.2
-1.105	10.2
-1.108	10.2
-1.111	10.2
-1.114	10.2
-1.117	10.2
-1.120	10.2
-1.123	10.2
-1.126	10.2
-1.129	10.2
-1.132	10.2
-1.135	10.2
-1.138	10.2
-1.141	10.2
-1.144	10.2
-1.147	10.2
-1.150	10.2
-1.153	10.2
-1.156	10.2
