#&a / °	I1 / %
-1.705	11.7
-1.708	11.7
-1.711	11.7
-1.714	11.7
-1.717	11.7
-1.720	11.7
-1.723	11.7
-1.726	11.7
-1.729	11.7
-1.732	11.6
-1.734	11.6
-1.737	11.7
-1.740	11.7
-1.743	11.7
-1.746	11.7
-1.749	11.7
-1.752	11.6
-1.755	11.6
-1.758	11.7
-1.761	11.7
-1.764	11.7
-1.767	11.7
-1.770	11.7
-1.773	11.7
-1.776	11.7
-1.779	11.7
-1.782	11.7
-1.785	11.7
-1.788	11.7
-1.791	11.7
-1.794	11.7
-1.797	11.6
-1.800	11.7
-1.803	11.7
-1.806	11.7
-1.809	11.7
-1.812	11.7
-1.815	11.7
-1.818	11.6
-1.821	11.7
-1.824	11.7
-1.826	11.7
-1.829	11.6
-1.832	11.6
-1.835	11.7
-1.838	11.7
-1.841	11.7
-1.844	11.7
-1.847	11.7
-1.850	11.7
-1.853	11.7
-1.856	11.7
-1.859	11.7
-1.862	11.7
-1.865	11.7
-1.868	11.7
-1.871	11.7
-1.874	11.7
-1.877	11.7
-1.880	11.7
-1.883	11.7
-1.886	11.7
-1.889	11.7
